    ,name                                              ,class_name             ,input_shape          ,output_shape         ,nb_params
1   ,conv1.0                                           ,Conv2d                 ,"(-1, 3, 224, 224)"  ,"(-1, 64, 112, 112)" ,tensor(1728)
2   ,conv1.1                                           ,BatchNorm2d            ,"(-1, 64, 112, 112)" ,"(-1, 64, 112, 112)" ,tensor(128)
3   ,conv1.2                                           ,ReLU6                  ,"(-1, 64, 112, 112)" ,"(-1, 64, 112, 112)" ,0
4   ,conv2.0                                           ,Conv2d                 ,"(-1, 64, 112, 112)" ,"(-1, 64, 56, 56)"   ,tensor(576)
5   ,conv2.1                                           ,BatchNorm2d            ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,tensor(128)
6   ,conv2.2                                           ,ReLU6                  ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,0
7   ,conv2.3                                           ,Conv2d                 ,"(-1, 64, 56, 56)"   ,"(-1, 128, 56, 56)"  ,tensor(8192)
8   ,conv2.4                                           ,BatchNorm2d            ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,tensor(256)
9   ,conv2.5                                           ,ReLU6                  ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,0
10  ,AttentionStage1.first_residual_blocks.0           ,Conv2d                 ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,tensor(1152)
11  ,AttentionStage1.first_residual_blocks.1           ,BatchNorm2d            ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,tensor(256)
12  ,AttentionStage1.first_residual_blocks.2           ,ReLU6                  ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,0
13  ,AttentionStage1.first_residual_blocks.3           ,Conv2d                 ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,tensor(16384)
14  ,AttentionStage1.first_residual_blocks.4           ,BatchNorm2d            ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,tensor(256)
15  ,AttentionStage1.first_residual_blocks.5           ,ReLU6                  ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,0
16  ,AttentionStage1.trunk_branches.0.0                ,Conv2d                 ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,tensor(1152)
17  ,AttentionStage1.trunk_branches.0.1                ,BatchNorm2d            ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,tensor(256)
18  ,AttentionStage1.trunk_branches.0.2                ,ReLU6                  ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,0
19  ,AttentionStage1.trunk_branches.0.3                ,Conv2d                 ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,tensor(16384)
20  ,AttentionStage1.trunk_branches.0.4                ,BatchNorm2d            ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,tensor(256)
21  ,AttentionStage1.trunk_branches.0.5                ,ReLU6                  ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,0
