,name,class_name,input_shape,output_shape,nb_params
1,conv1.0,Conv2d,"(-1, 3, 224, 224)","(-1, 32, 112, 112)",tensor(864)
2,conv1.1,BatchNorm2d,"(-1, 32, 112, 112)","(-1, 32, 112, 112)",tensor(64)
3,conv1.2,ReLU6,"(-1, 32, 112, 112)","(-1, 32, 112, 112)",0
4,conv2.0,Conv2d,"(-1, 32, 112, 112)","(-1, 32, 56, 56)",tensor(288)
5,conv2.1,BatchNorm2d,"(-1, 32, 56, 56)","(-1, 32, 56, 56)",tensor(64)
6,conv2.2,ReLU6,"(-1, 32, 56, 56)","(-1, 32, 56, 56)",0
7,conv2.3,Conv2d,"(-1, 32, 56, 56)","(-1, 64, 56, 56)",tensor(2048)
8,conv2.4,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
9,conv2.5,ReLU6,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
10,AttentionStage1.first_residual_blocks.0,Conv2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(576)
11,AttentionStage1.first_residual_blocks.1,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
12,AttentionStage1.first_residual_blocks.2,ReLU6,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
13,AttentionStage1.first_residual_blocks.3,Conv2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(4096)
14,AttentionStage1.first_residual_blocks.4,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
15,AttentionStage1.first_residual_blocks.5,ReLU6,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
16,AttentionStage1.trunk_branches.0.0,Conv2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(576)
17,AttentionStage1.trunk_branches.0.1,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
18,AttentionStage1.trunk_branches.0.2,ReLU6,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
19,AttentionStage1.trunk_branches.0.3,Conv2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(4096)
20,AttentionStage1.trunk_branches.0.4,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
21,AttentionStage1.trunk_branches.0.5,ReLU6,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
22,AttentionStage1.trunk_branches.1.0,Conv2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(576)
23,AttentionStage1.trunk_branches.1.1,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
24,AttentionStage1.trunk_branches.1.2,ReLU6,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
25,AttentionStage1.trunk_branches.1.3,Conv2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(4096)
26,AttentionStage1.trunk_branches.1.4,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
27,AttentionStage1.trunk_branches.1.5,ReLU6,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
28,AttentionStage1.mpool1,MaxPool2d,"(-1, 64, 56, 56)","(-1, 64, 28, 28)",0
29,AttentionStage1.softmax1_blocks.0,Conv2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(576)
30,AttentionStage1.softmax1_blocks.1,BatchNorm2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(128)
31,AttentionStage1.softmax1_blocks.2,ReLU6,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",0
32,AttentionStage1.softmax1_blocks.3,Conv2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(4096)
33,AttentionStage1.softmax1_blocks.4,BatchNorm2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(128)
34,AttentionStage1.softmax1_blocks.5,ReLU6,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",0
35,AttentionStage1.skip1_connection_residual_block.0,Conv2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(576)
36,AttentionStage1.skip1_connection_residual_block.1,BatchNorm2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(128)
37,AttentionStage1.skip1_connection_residual_block.2,ReLU6,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",0
38,AttentionStage1.skip1_connection_residual_block.3,Conv2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(4096)
39,AttentionStage1.skip1_connection_residual_block.4,BatchNorm2d,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",tensor(128)
40,AttentionStage1.skip1_connection_residual_block.5,ReLU6,"(-1, 64, 28, 28)","(-1, 64, 28, 28)",0
41,AttentionStage1.mpool2,MaxPool2d,"(-1, 64, 28, 28)","(-1, 64, 14, 14)",0
42,AttentionStage1.softmax2_blocks.0,Conv2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(576)
43,AttentionStage1.softmax2_blocks.1,BatchNorm2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(128)
44,AttentionStage1.softmax2_blocks.2,ReLU6,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",0
45,AttentionStage1.softmax2_blocks.3,Conv2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(4096)
46,AttentionStage1.softmax2_blocks.4,BatchNorm2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(128)
47,AttentionStage1.softmax2_blocks.5,ReLU6,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",0
48,AttentionStage1.skip2_connection_residual_block.0,Conv2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(576)
49,AttentionStage1.skip2_connection_residual_block.1,BatchNorm2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(128)
50,AttentionStage1.skip2_connection_residual_block.2,ReLU6,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",0
51,AttentionStage1.skip2_connection_residual_block.3,Conv2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(4096)
52,AttentionStage1.skip2_connection_residual_block.4,BatchNorm2d,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",tensor(128)
53,AttentionStage1.skip2_connection_residual_block.5,ReLU6,"(-1, 64, 14, 14)","(-1, 64, 14, 14)",0
54,AttentionStage1.mpool3,MaxPool2d,"(-1, 64, 14, 14)","(-1, 64, 7, 7)",0
55,AttentionStage1.softmax3_blocks.0.0,Conv2d,"(-1, 64, 7, 7)","(-1, 64, 7, 7)",tensor(576)
