    ,name                                      ,class_name              ,input_shape          ,output_shape         ,nb_params
1   ,_conv_stem.static_padding                 ,ZeroPad2d               ,"(-1, 3, 224, 224)"  ,"(-1, 3, 225, 225)"  ,0
2   ,_conv_stem                                ,Conv2dStaticSamePadding ,"(-1, 3, 224, 224)"  ,"(-1, 32, 112, 112)" ,tensor(864)
3   ,_bn0                                      ,BatchNorm2d             ,"(-1, 32, 112, 112)" ,"(-1, 32, 112, 112)" ,tensor(64)
4   ,_blocks.0._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 32, 112, 112)" ,"(-1, 32, 114, 114)" ,0
5   ,_blocks.0._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 32, 112, 112)" ,"(-1, 32, 112, 112)" ,tensor(288)
6   ,_blocks.0._bn1                            ,BatchNorm2d             ,"(-1, 32, 112, 112)" ,"(-1, 32, 112, 112)" ,tensor(64)
7   ,_blocks.0._se_reduce.static_padding       ,Identity                ,"(-1, 32, 1, 1)"     ,"(-1, 32, 1, 1)"     ,0
8   ,_blocks.0._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 32, 1, 1)"     ,"(-1, 8, 1, 1)"      ,tensor(264)
9   ,_blocks.0._se_expand.static_padding       ,Identity                ,"(-1, 8, 1, 1)"      ,"(-1, 8, 1, 1)"      ,0
10  ,_blocks.0._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 8, 1, 1)"      ,"(-1, 32, 1, 1)"     ,tensor(288)
11  ,_blocks.0._project_conv.static_padding    ,Identity                ,"(-1, 32, 112, 112)" ,"(-1, 32, 112, 112)" ,0
12  ,_blocks.0._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 32, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(512)
13  ,_blocks.0._bn2                            ,BatchNorm2d             ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(32)
14  ,_blocks.0                                 ,MBConvBlock             ,"(-1, 32, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(1448)
15  ,_blocks.1._expand_conv.static_padding     ,Identity                ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,0
16  ,_blocks.1._expand_conv                    ,Conv2dStaticSamePadding ,"(-1, 16, 112, 112)" ,"(-1, 96, 112, 112)" ,tensor(1536)
17  ,_blocks.1._bn0                            ,BatchNorm2d             ,"(-1, 96, 112, 112)" ,"(-1, 96, 112, 112)" ,tensor(192)
18  ,_blocks.1._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 96, 112, 112)" ,"(-1, 96, 113, 113)" ,0
19  ,_blocks.1._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 96, 112, 112)" ,"(-1, 96, 56, 56)"   ,tensor(864)
20  ,_blocks.1._bn1                            ,BatchNorm2d             ,"(-1, 96, 56, 56)"   ,"(-1, 96, 56, 56)"   ,tensor(192)
21  ,_blocks.1._se_reduce.static_padding       ,Identity                ,"(-1, 96, 1, 1)"     ,"(-1, 96, 1, 1)"     ,0
22  ,_blocks.1._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 96, 1, 1)"     ,"(-1, 4, 1, 1)"      ,tensor(388)
23  ,_blocks.1._se_expand.static_padding       ,Identity                ,"(-1, 4, 1, 1)"      ,"(-1, 4, 1, 1)"      ,0
24  ,_blocks.1._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 4, 1, 1)"      ,"(-1, 96, 1, 1)"     ,tensor(480)
25  ,_blocks.1._project_conv.static_padding    ,Identity                ,"(-1, 96, 56, 56)"   ,"(-1, 96, 56, 56)"   ,0
26  ,_blocks.1._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 96, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(2304)
27  ,_blocks.1._bn2                            ,BatchNorm2d             ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(48)
28  ,_blocks.1                                 ,MBConvBlock             ,"(-1, 16, 112, 112)" ,"(-1, 24, 56, 56)"   ,tensor(6004)
29  ,_blocks.2._expand_conv.static_padding     ,Identity                ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,0
30  ,_blocks.2._expand_conv                    ,Conv2dStaticSamePadding ,"(-1, 24, 56, 56)"   ,"(-1, 144, 56, 56)"  ,tensor(3456)
31  ,_blocks.2._bn0                            ,BatchNorm2d             ,"(-1, 144, 56, 56)"  ,"(-1, 144, 56, 56)"  ,tensor(288)
32  ,_blocks.2._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 144, 56, 56)"  ,"(-1, 144, 58, 58)"  ,0
33  ,_blocks.2._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 144, 56, 56)"  ,"(-1, 144, 56, 56)"  ,tensor(1296)
34  ,_blocks.2._bn1                            ,BatchNorm2d             ,"(-1, 144, 56, 56)"  ,"(-1, 144, 56, 56)"  ,tensor(288)
35  ,_blocks.2._se_reduce.static_padding       ,Identity                ,"(-1, 144, 1, 1)"    ,"(-1, 144, 1, 1)"    ,0
36  ,_blocks.2._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 144, 1, 1)"    ,"(-1, 6, 1, 1)"      ,tensor(870)
37  ,_blocks.2._se_expand.static_padding       ,Identity                ,"(-1, 6, 1, 1)"      ,"(-1, 6, 1, 1)"      ,0
38  ,_blocks.2._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 6, 1, 1)"      ,"(-1, 144, 1, 1)"    ,tensor(1008)
39  ,_blocks.2._project_conv.static_padding    ,Identity                ,"(-1, 144, 56, 56)"  ,"(-1, 144, 56, 56)"  ,0
40  ,_blocks.2._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 144, 56, 56)"  ,"(-1, 24, 56, 56)"   ,tensor(3456)
41  ,_blocks.2._bn2                            ,BatchNorm2d             ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(48)
42  ,_blocks.2                                 ,MBConvBlock             ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(10710)
43  ,_blocks.3._expand_conv.static_padding     ,Identity                ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,0
