    ,name                           ,class_name   ,input_shape          ,output_shape         ,nb_params
1   ,init_conv.0                    ,Conv2d       ,"(-1, 3, 224, 224)"  ,"(-1, 16, 112, 112)" ,tensor(448)
2   ,init_conv.1                    ,BatchNorm2d  ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(32)
3   ,init_conv.2                    ,h_swish      ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,0
4   ,block.0.conv.0                 ,Conv2d       ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(256)
5   ,block.0.conv.1                 ,BatchNorm2d  ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(32)
6   ,block.0.conv.2                 ,ReLU         ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,0
7   ,block.0.depth_conv.0           ,Conv2d       ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(160)
8   ,block.0.depth_conv.1           ,BatchNorm2d  ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(32)
9   ,block.0.point_conv.0           ,Conv2d       ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(272)
10  ,block.0.point_conv.1           ,BatchNorm2d  ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(32)
11  ,block.0.point_conv.2           ,ReLU         ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,0
12  ,block.0                        ,MobileBlock  ,"(-1, 16, 112, 112)" ,"(-1, 16, 112, 112)" ,tensor(784)
13  ,block.1.conv.0                 ,Conv2d       ,"(-1, 16, 112, 112)" ,"(-1, 64, 112, 112)" ,tensor(1024)
14  ,block.1.conv.1                 ,BatchNorm2d  ,"(-1, 64, 112, 112)" ,"(-1, 64, 112, 112)" ,tensor(128)
15  ,block.1.conv.2                 ,ReLU         ,"(-1, 64, 112, 112)" ,"(-1, 64, 112, 112)" ,0
16  ,block.1.depth_conv.0           ,Conv2d       ,"(-1, 64, 112, 112)" ,"(-1, 64, 56, 56)"   ,tensor(640)
17  ,block.1.depth_conv.1           ,BatchNorm2d  ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,tensor(128)
18  ,block.1.point_conv.0           ,Conv2d       ,"(-1, 64, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(1560)
19  ,block.1.point_conv.1           ,BatchNorm2d  ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(48)
20  ,block.1.point_conv.2           ,ReLU         ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,0
21  ,block.1                        ,MobileBlock  ,"(-1, 16, 112, 112)" ,"(-1, 24, 56, 56)"   ,tensor(3528)
22  ,block.2.conv.0                 ,Conv2d       ,"(-1, 24, 56, 56)"   ,"(-1, 72, 56, 56)"   ,tensor(1728)
23  ,block.2.conv.1                 ,BatchNorm2d  ,"(-1, 72, 56, 56)"   ,"(-1, 72, 56, 56)"   ,tensor(144)
24  ,block.2.conv.2                 ,ReLU         ,"(-1, 72, 56, 56)"   ,"(-1, 72, 56, 56)"   ,0
25  ,block.2.depth_conv.0           ,Conv2d       ,"(-1, 72, 56, 56)"   ,"(-1, 72, 56, 56)"   ,tensor(720)
26  ,block.2.depth_conv.1           ,BatchNorm2d  ,"(-1, 72, 56, 56)"   ,"(-1, 72, 56, 56)"   ,tensor(144)
27  ,block.2.point_conv.0           ,Conv2d       ,"(-1, 72, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(1752)
28  ,block.2.point_conv.1           ,BatchNorm2d  ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(48)
29  ,block.2.point_conv.2           ,ReLU         ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,0
30  ,block.2                        ,MobileBlock  ,"(-1, 24, 56, 56)"   ,"(-1, 24, 56, 56)"   ,tensor(4536)
31  ,block.3.conv.0                 ,Conv2d       ,"(-1, 24, 56, 56)"   ,"(-1, 72, 56, 56)"   ,tensor(1728)
32  ,block.3.conv.1                 ,BatchNorm2d  ,"(-1, 72, 56, 56)"   ,"(-1, 72, 56, 56)"   ,tensor(144)
33  ,block.3.conv.2                 ,ReLU         ,"(-1, 72, 56, 56)"   ,"(-1, 72, 56, 56)"   ,0
34  ,block.3.depth_conv.0           ,Conv2d       ,"(-1, 72, 56, 56)"   ,"(-1, 72, 28, 28)"   ,tensor(1872)
35  ,block.3.depth_conv.1           ,BatchNorm2d  ,"(-1, 72, 28, 28)"   ,"(-1, 72, 28, 28)"   ,tensor(144)
36  ,block.3.squeeze_block.dense.0  ,Linear       ,"(-1, 72)"           ,"(-1, 18)"           ,tensor(1314)
37  ,block.3.squeeze_block.dense.1  ,ReLU         ,"(-1, 18)"           ,"(-1, 18)"           ,0
38  ,block.3.squeeze_block.dense.2  ,Linear       ,"(-1, 18)"           ,"(-1, 72)"           ,tensor(1368)
39  ,block.3.squeeze_block.dense.3  ,h_sigmoid    ,"(-1, 72)"           ,"(-1, 72)"           ,0
40  ,block.3.squeeze_block          ,SqueezeBlock ,"(-1, 72, 28, 28)"   ,"(-1, 72, 28, 28)"   ,tensor(2682)
41  ,block.3.point_conv.0           ,Conv2d       ,"(-1, 72, 28, 28)"   ,"(-1, 40, 28, 28)"   ,tensor(2920)
42  ,block.3.point_conv.1           ,BatchNorm2d  ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,tensor(80)
43  ,block.3.point_conv.2           ,ReLU         ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,0
44  ,block.3                        ,MobileBlock  ,"(-1, 24, 56, 56)"   ,"(-1, 40, 28, 28)"   ,tensor(9570)
45  ,block.4.conv.0                 ,Conv2d       ,"(-1, 40, 28, 28)"   ,"(-1, 120, 28, 28)"  ,tensor(4800)
46  ,block.4.conv.1                 ,BatchNorm2d  ,"(-1, 120, 28, 28)"  ,"(-1, 120, 28, 28)"  ,tensor(240)
47  ,block.4.conv.2                 ,ReLU         ,"(-1, 120, 28, 28)"  ,"(-1, 120, 28, 28)"  ,0
48  ,block.4.depth_conv.0           ,Conv2d       ,"(-1, 120, 28, 28)"  ,"(-1, 120, 28, 28)"  ,tensor(3120)
49  ,block.4.depth_conv.1           ,BatchNorm2d  ,"(-1, 120, 28, 28)"  ,"(-1, 120, 28, 28)"  ,tensor(240)
50  ,block.4.squeeze_block.dense.0  ,Linear       ,"(-1, 120)"          ,"(-1, 30)"           ,tensor(3630)
51  ,block.4.squeeze_block.dense.1  ,ReLU         ,"(-1, 30)"           ,"(-1, 30)"           ,0
52  ,block.4.squeeze_block.dense.2  ,Linear       ,"(-1, 30)"           ,"(-1, 120)"          ,tensor(3720)
53  ,block.4.squeeze_block.dense.3  ,h_sigmoid    ,"(-1, 120)"          ,"(-1, 120)"          ,0
54  ,block.4.squeeze_block          ,SqueezeBlock ,"(-1, 120, 28, 28)"  ,"(-1, 120, 28, 28)"  ,tensor(7350)
55  ,block.4.point_conv.0           ,Conv2d       ,"(-1, 120, 28, 28)"  ,"(-1, 40, 28, 28)"   ,tensor(4840)
56  ,block.4.point_conv.1           ,BatchNorm2d  ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,tensor(80)
57  ,block.4.point_conv.2           ,ReLU         ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,0
58  ,block.4                        ,MobileBlock  ,"(-1, 40, 28, 28)"   ,"(-1, 40, 28, 28)"   ,tensor(20670)
59  ,block.5.conv.0                 ,Conv2d       ,"(-1, 40, 28, 28)"   ,"(-1, 120, 28, 28)"  ,tensor(4800)
60  ,block.5.conv.1                 ,BatchNorm2d  ,"(-1, 120, 28, 28)"  ,"(-1, 120, 28, 28)"  ,tensor(240)
61  ,block.5.conv.2                 ,ReLU         ,"(-1, 120, 28, 28)"  ,"(-1, 120, 28, 28)"  ,0
62  ,block.5.depth_conv.0           ,Conv2d       ,"(-1, 120, 28, 28)"  ,"(-1, 120, 28, 28)"  ,tensor(3120)
63  ,block.5.depth_conv.1           ,BatchNorm2d  ,"(-1, 120, 28, 28)"  ,"(-1, 120, 28, 28)"  ,tensor(240)
64  ,block.5.squeeze_block.dense.0  ,Linear       ,"(-1, 120)"          ,"(-1, 30)"           ,tensor(3630)
65  ,block.5.squeeze_block.dense.1  ,ReLU         ,"(-1, 30)"           ,"(-1, 30)"           ,0
66  ,block.5.squeeze_block.dense.2  ,Linear       ,"(-1, 30)"           ,"(-1, 120)"          ,tensor(3720)
67  ,block.5.squeeze_block.dense.3  ,h_sigmoid    ,"(-1, 120)"          ,"(-1, 120)"          ,0
68  ,block.5.squeeze_block          ,SqueezeBlock ,"(-1, 120, 28, 28)"  ,"(-1, 120, 28, 28)"  ,tensor(7350)
