,name,class_name,input_shape,output_shape,nb_params
1,conv1.0,Conv2d,"(-1, 3, 224, 224)","(-1, 64, 112, 112)",tensor(9408)
2,conv1.1,BatchNorm2d,"(-1, 64, 112, 112)","(-1, 64, 112, 112)",tensor(128)
3,conv1.2,ReLU,"(-1, 64, 112, 112)","(-1, 64, 112, 112)",0
4,mpool1,MaxPool2d,"(-1, 64, 112, 112)","(-1, 64, 56, 56)",0
5,residual_block1.bn1,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
6,residual_block1.relu,ReLU,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
7,residual_block1.conv1,Conv2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(4096)
8,residual_block1.bn2,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
9,residual_block1.relu,ReLU,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
10,residual_block1.conv2,Conv2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(36864)
11,residual_block1.bn3,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
12,residual_block1.relu,ReLU,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
13,residual_block1.conv3,Conv2d,"(-1, 64, 56, 56)","(-1, 256, 56, 56)",tensor(16384)
14,residual_block1.conv4,Conv2d,"(-1, 64, 56, 56)","(-1, 256, 56, 56)",tensor(16384)
15,residual_block1,ResidualBlock,"(-1, 64, 56, 56)","(-1, 256, 56, 56)",tensor(74112)
16,attention_module1.first_residual_blocks.bn1,BatchNorm2d,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(512)
17,attention_module1.first_residual_blocks.relu,ReLU,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",0
18,attention_module1.first_residual_blocks.conv1,Conv2d,"(-1, 256, 56, 56)","(-1, 64, 56, 56)",tensor(16384)
19,attention_module1.first_residual_blocks.bn2,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
20,attention_module1.first_residual_blocks.relu,ReLU,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
21,attention_module1.first_residual_blocks.conv2,Conv2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(36864)
22,attention_module1.first_residual_blocks.bn3,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
23,attention_module1.first_residual_blocks.relu,ReLU,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
24,attention_module1.first_residual_blocks.conv3,Conv2d,"(-1, 64, 56, 56)","(-1, 256, 56, 56)",tensor(16384)
25,attention_module1.first_residual_blocks,ResidualBlock,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(135936)
26,attention_module1.trunk_branches.0.bn1,BatchNorm2d,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(512)
27,attention_module1.trunk_branches.0.relu,ReLU,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",0
28,attention_module1.trunk_branches.0.conv1,Conv2d,"(-1, 256, 56, 56)","(-1, 64, 56, 56)",tensor(16384)
29,attention_module1.trunk_branches.0.bn2,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
30,attention_module1.trunk_branches.0.relu,ReLU,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
31,attention_module1.trunk_branches.0.conv2,Conv2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(36864)
32,attention_module1.trunk_branches.0.bn3,BatchNorm2d,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",tensor(128)
33,attention_module1.trunk_branches.0.relu,ReLU,"(-1, 64, 56, 56)","(-1, 64, 56, 56)",0
34,attention_module1.trunk_branches.0.conv3,Conv2d,"(-1, 64, 56, 56)","(-1, 256, 56, 56)",tensor(16384)
35,attention_module1.trunk_branches.0,ResidualBlock,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(135936)
36,attention_module1.trunk_branches.1.bn1,BatchNorm2d,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",tensor(512)
37,attention_module1.trunk_branches.1.relu,ReLU,"(-1, 256, 56, 56)","(-1, 256, 56, 56)",0
