    ,name                 ,class_name       ,input_shape          ,output_shape         ,nb_params
1   ,conv1.0              ,Conv2d           ,"(-1, 3, 224, 224)"  ,"(-1, 24, 112, 112)" ,tensor(648)
2   ,conv1.1              ,BatchNorm2d      ,"(-1, 24, 112, 112)" ,"(-1, 24, 112, 112)" ,tensor(48)
3   ,conv1.2              ,ReLU             ,"(-1, 24, 112, 112)" ,"(-1, 24, 112, 112)" ,0
4   ,maxpool              ,MaxPool2d        ,"(-1, 24, 112, 112)" ,"(-1, 24, 56, 56)"   ,0
5   ,features.0.banch1.0  ,Conv2d           ,"(-1, 24, 56, 56)"   ,"(-1, 24, 28, 28)"   ,tensor(216)
6   ,features.0.banch1.1  ,BatchNorm2d      ,"(-1, 24, 28, 28)"   ,"(-1, 24, 28, 28)"   ,tensor(48)
7   ,features.0.banch1.2  ,Conv2d           ,"(-1, 24, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(1392)
8   ,features.0.banch1.3  ,BatchNorm2d      ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(116)
9   ,features.0.banch1.4  ,ReLU             ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,0
10  ,features.0.banch2.0  ,Conv2d           ,"(-1, 24, 56, 56)"   ,"(-1, 58, 56, 56)"   ,tensor(1392)
11  ,features.0.banch2.1  ,BatchNorm2d      ,"(-1, 58, 56, 56)"   ,"(-1, 58, 56, 56)"   ,tensor(116)
12  ,features.0.banch2.2  ,ReLU             ,"(-1, 58, 56, 56)"   ,"(-1, 58, 56, 56)"   ,0
13  ,features.0.banch2.3  ,Conv2d           ,"(-1, 58, 56, 56)"   ,"(-1, 58, 28, 28)"   ,tensor(522)
14  ,features.0.banch2.4  ,BatchNorm2d      ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(116)
15  ,features.0.banch2.5  ,Conv2d           ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(3364)
16  ,features.0.banch2.6  ,BatchNorm2d      ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(116)
17  ,features.0.banch2.7  ,ReLU             ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,0
18  ,features.0           ,InvertedResidual ,"(-1, 24, 56, 56)"   ,"(-1, 116, 28, 28)"  ,tensor(7398)
19  ,features.1.banch2.0  ,Conv2d           ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(3364)
20  ,features.1.banch2.1  ,BatchNorm2d      ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(116)
21  ,features.1.banch2.2  ,ReLU             ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,0
22  ,features.1.banch2.3  ,Conv2d           ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(522)
23  ,features.1.banch2.4  ,BatchNorm2d      ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(116)
24  ,features.1.banch2.5  ,Conv2d           ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(3364)
25  ,features.1.banch2.6  ,BatchNorm2d      ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(116)
26  ,features.1.banch2.7  ,ReLU             ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,0
27  ,features.1           ,InvertedResidual ,"(-1, 116, 28, 28)"  ,"(-1, 116, 28, 28)"  ,tensor(7598)
28  ,features.2.banch2.0  ,Conv2d           ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(3364)
29  ,features.2.banch2.1  ,BatchNorm2d      ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(116)
30  ,features.2.banch2.2  ,ReLU             ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,0
31  ,features.2.banch2.3  ,Conv2d           ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(522)
32  ,features.2.banch2.4  ,BatchNorm2d      ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(116)
33  ,features.2.banch2.5  ,Conv2d           ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(3364)
34  ,features.2.banch2.6  ,BatchNorm2d      ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(116)
35  ,features.2.banch2.7  ,ReLU             ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,0
36  ,features.2           ,InvertedResidual ,"(-1, 116, 28, 28)"  ,"(-1, 116, 28, 28)"  ,tensor(7598)
37  ,features.3.banch2.0  ,Conv2d           ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(3364)
38  ,features.3.banch2.1  ,BatchNorm2d      ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(116)
39  ,features.3.banch2.2  ,ReLU             ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,0
40  ,features.3.banch2.3  ,Conv2d           ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(522)
41  ,features.3.banch2.4  ,BatchNorm2d      ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(116)
42  ,features.3.banch2.5  ,Conv2d           ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(3364)
43  ,features.3.banch2.6  ,BatchNorm2d      ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,tensor(116)
44  ,features.3.banch2.7  ,ReLU             ,"(-1, 58, 28, 28)"   ,"(-1, 58, 28, 28)"   ,0
45  ,features.3           ,InvertedResidual ,"(-1, 116, 28, 28)"  ,"(-1, 116, 28, 28)"  ,tensor(7598)
46  ,features.4.banch1.0  ,Conv2d           ,"(-1, 116, 28, 28)"  ,"(-1, 116, 14, 14)"  ,tensor(1044)
47  ,features.4.banch1.1  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
48  ,features.4.banch1.2  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
49  ,features.4.banch1.3  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
50  ,features.4.banch1.4  ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
51  ,features.4.banch2.0  ,Conv2d           ,"(-1, 116, 28, 28)"  ,"(-1, 116, 28, 28)"  ,tensor(13456)
52  ,features.4.banch2.1  ,BatchNorm2d      ,"(-1, 116, 28, 28)"  ,"(-1, 116, 28, 28)"  ,tensor(232)
53  ,features.4.banch2.2  ,ReLU             ,"(-1, 116, 28, 28)"  ,"(-1, 116, 28, 28)"  ,0
54  ,features.4.banch2.3  ,Conv2d           ,"(-1, 116, 28, 28)"  ,"(-1, 116, 14, 14)"  ,tensor(1044)
55  ,features.4.banch2.4  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
56  ,features.4.banch2.5  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
57  ,features.4.banch2.6  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
58  ,features.4.banch2.7  ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
59  ,features.4           ,InvertedResidual ,"(-1, 116, 28, 28)"  ,"(-1, 232, 14, 14)"  ,tensor(43616)
60  ,features.5.banch2.0  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
61  ,features.5.banch2.1  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
62  ,features.5.banch2.2  ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
63  ,features.5.banch2.3  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(1044)
64  ,features.5.banch2.4  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
65  ,features.5.banch2.5  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
66  ,features.5.banch2.6  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
67  ,features.5.banch2.7  ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
68  ,features.5           ,InvertedResidual ,"(-1, 232, 14, 14)"  ,"(-1, 232, 14, 14)"  ,tensor(28652)
69  ,features.6.banch2.0  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
70  ,features.6.banch2.1  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
71  ,features.6.banch2.2  ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
72  ,features.6.banch2.3  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(1044)
73  ,features.6.banch2.4  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
74  ,features.6.banch2.5  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
75  ,features.6.banch2.6  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
76  ,features.6.banch2.7  ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
77  ,features.6           ,InvertedResidual ,"(-1, 232, 14, 14)"  ,"(-1, 232, 14, 14)"  ,tensor(28652)
78  ,features.7.banch2.0  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
79  ,features.7.banch2.1  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
80  ,features.7.banch2.2  ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
81  ,features.7.banch2.3  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(1044)
82  ,features.7.banch2.4  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
83  ,features.7.banch2.5  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
84  ,features.7.banch2.6  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
85  ,features.7.banch2.7  ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
86  ,features.7           ,InvertedResidual ,"(-1, 232, 14, 14)"  ,"(-1, 232, 14, 14)"  ,tensor(28652)
87  ,features.8.banch2.0  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
88  ,features.8.banch2.1  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
89  ,features.8.banch2.2  ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
90  ,features.8.banch2.3  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(1044)
91  ,features.8.banch2.4  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
92  ,features.8.banch2.5  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
93  ,features.8.banch2.6  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
94  ,features.8.banch2.7  ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
95  ,features.8           ,InvertedResidual ,"(-1, 232, 14, 14)"  ,"(-1, 232, 14, 14)"  ,tensor(28652)
96  ,features.9.banch2.0  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
97  ,features.9.banch2.1  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
98  ,features.9.banch2.2  ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
99  ,features.9.banch2.3  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(1044)
100 ,features.9.banch2.4  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
101 ,features.9.banch2.5  ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
102 ,features.9.banch2.6  ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
103 ,features.9.banch2.7  ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
104 ,features.9           ,InvertedResidual ,"(-1, 232, 14, 14)"  ,"(-1, 232, 14, 14)"  ,tensor(28652)
105 ,features.10.banch2.0 ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
106 ,features.10.banch2.1 ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
107 ,features.10.banch2.2 ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
108 ,features.10.banch2.3 ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(1044)
109 ,features.10.banch2.4 ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
110 ,features.10.banch2.5 ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
111 ,features.10.banch2.6 ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
112 ,features.10.banch2.7 ,ReLU             ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,0
113 ,features.10          ,InvertedResidual ,"(-1, 232, 14, 14)"  ,"(-1, 232, 14, 14)"  ,tensor(28652)
114 ,features.11.banch2.0 ,Conv2d           ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(13456)
115 ,features.11.banch2.1 ,BatchNorm2d      ,"(-1, 116, 14, 14)"  ,"(-1, 116, 14, 14)"  ,tensor(232)
