   ,name         ,class_name  ,input_shape           ,output_shape          ,nb_params
1  ,features.0   ,Conv2d      ,"(-1, 3, 224, 224)"   ,"(-1, 64, 224, 224)"  ,tensor(1792)
2  ,features.1   ,BatchNorm2d ,"(-1, 64, 224, 224)"  ,"(-1, 64, 224, 224)"  ,tensor(128)
3  ,features.2   ,ReLU        ,"(-1, 64, 224, 224)"  ,"(-1, 64, 224, 224)"  ,0
4  ,features.3   ,Conv2d      ,"(-1, 64, 224, 224)"  ,"(-1, 64, 224, 224)"  ,tensor(36928)
5  ,features.4   ,BatchNorm2d ,"(-1, 64, 224, 224)"  ,"(-1, 64, 224, 224)"  ,tensor(128)
6  ,features.5   ,ReLU        ,"(-1, 64, 224, 224)"  ,"(-1, 64, 224, 224)"  ,0
7  ,features.6   ,MaxPool2d   ,"(-1, 64, 224, 224)"  ,"(-1, 64, 112, 112)"  ,0
8  ,features.7   ,Conv2d      ,"(-1, 64, 112, 112)"  ,"(-1, 128, 112, 112)" ,tensor(73856)
9  ,features.8   ,BatchNorm2d ,"(-1, 128, 112, 112)" ,"(-1, 128, 112, 112)" ,tensor(256)
10 ,features.9   ,ReLU        ,"(-1, 128, 112, 112)" ,"(-1, 128, 112, 112)" ,0
11 ,features.10  ,Conv2d      ,"(-1, 128, 112, 112)" ,"(-1, 128, 112, 112)" ,tensor(147584)
12 ,features.11  ,BatchNorm2d ,"(-1, 128, 112, 112)" ,"(-1, 128, 112, 112)" ,tensor(256)
13 ,features.12  ,ReLU        ,"(-1, 128, 112, 112)" ,"(-1, 128, 112, 112)" ,0
14 ,features.13  ,MaxPool2d   ,"(-1, 128, 112, 112)" ,"(-1, 128, 56, 56)"   ,0
15 ,features.14  ,Conv2d      ,"(-1, 128, 56, 56)"   ,"(-1, 256, 56, 56)"   ,tensor(295168)
16 ,features.15  ,BatchNorm2d ,"(-1, 256, 56, 56)"   ,"(-1, 256, 56, 56)"   ,tensor(512)
17 ,features.16  ,ReLU        ,"(-1, 256, 56, 56)"   ,"(-1, 256, 56, 56)"   ,0
18 ,features.17  ,Conv2d      ,"(-1, 256, 56, 56)"   ,"(-1, 256, 56, 56)"   ,tensor(590080)
19 ,features.18  ,BatchNorm2d ,"(-1, 256, 56, 56)"   ,"(-1, 256, 56, 56)"   ,tensor(512)
20 ,features.19  ,ReLU        ,"(-1, 256, 56, 56)"   ,"(-1, 256, 56, 56)"   ,0
21 ,features.20  ,Conv2d      ,"(-1, 256, 56, 56)"   ,"(-1, 256, 56, 56)"   ,tensor(590080)
22 ,features.21  ,BatchNorm2d ,"(-1, 256, 56, 56)"   ,"(-1, 256, 56, 56)"   ,tensor(512)
23 ,features.22  ,ReLU        ,"(-1, 256, 56, 56)"   ,"(-1, 256, 56, 56)"   ,0
24 ,features.23  ,MaxPool2d   ,"(-1, 256, 56, 56)"   ,"(-1, 256, 28, 28)"   ,0
25 ,features.24  ,Conv2d      ,"(-1, 256, 28, 28)"   ,"(-1, 512, 28, 28)"   ,tensor(1180160)
26 ,features.25  ,BatchNorm2d ,"(-1, 512, 28, 28)"   ,"(-1, 512, 28, 28)"   ,tensor(1024)
27 ,features.26  ,ReLU        ,"(-1, 512, 28, 28)"   ,"(-1, 512, 28, 28)"   ,0
28 ,features.27  ,Conv2d      ,"(-1, 512, 28, 28)"   ,"(-1, 512, 28, 28)"   ,tensor(2359808)
29 ,features.28  ,BatchNorm2d ,"(-1, 512, 28, 28)"   ,"(-1, 512, 28, 28)"   ,tensor(1024)
30 ,features.29  ,ReLU        ,"(-1, 512, 28, 28)"   ,"(-1, 512, 28, 28)"   ,0
31 ,features.30  ,Conv2d      ,"(-1, 512, 28, 28)"   ,"(-1, 512, 28, 28)"   ,tensor(2359808)
32 ,features.31  ,BatchNorm2d ,"(-1, 512, 28, 28)"   ,"(-1, 512, 28, 28)"   ,tensor(1024)
33 ,features.32  ,ReLU        ,"(-1, 512, 28, 28)"   ,"(-1, 512, 28, 28)"   ,0
34 ,features.33  ,MaxPool2d   ,"(-1, 512, 28, 28)"   ,"(-1, 512, 14, 14)"   ,0
35 ,features.34  ,Conv2d      ,"(-1, 512, 14, 14)"   ,"(-1, 512, 14, 14)"   ,tensor(2359808)
36 ,features.35  ,BatchNorm2d ,"(-1, 512, 14, 14)"   ,"(-1, 512, 14, 14)"   ,tensor(1024)
37 ,features.36  ,ReLU        ,"(-1, 512, 14, 14)"   ,"(-1, 512, 14, 14)"   ,0
38 ,features.37  ,Conv2d      ,"(-1, 512, 14, 14)"   ,"(-1, 512, 14, 14)"   ,tensor(2359808)
39 ,features.38  ,BatchNorm2d ,"(-1, 512, 14, 14)"   ,"(-1, 512, 14, 14)"   ,tensor(1024)
40 ,features.39  ,ReLU        ,"(-1, 512, 14, 14)"   ,"(-1, 512, 14, 14)"   ,0
41 ,features.40  ,Conv2d      ,"(-1, 512, 14, 14)"   ,"(-1, 512, 14, 14)"   ,tensor(2359808)
42 ,features.41  ,BatchNorm2d ,"(-1, 512, 14, 14)"   ,"(-1, 512, 14, 14)"   ,tensor(1024)
43 ,features.42  ,ReLU        ,"(-1, 512, 14, 14)"   ,"(-1, 512, 14, 14)"   ,0
44 ,features.43  ,MaxPool2d   ,"(-1, 512, 14, 14)"   ,"(-1, 512, 7, 7)"     ,0
45 ,classifier.0 ,Linear      ,"(-1, 25088)"         ,"(-1, 4096)"          ,tensor(102764544)
46 ,classifier.1 ,ReLU        ,"(-1, 4096)"          ,"(-1, 4096)"          ,0
47 ,classifier.2 ,Dropout     ,"(-1, 4096)"          ,"(-1, 4096)"          ,0
48 ,classifier.3 ,Linear      ,"(-1, 4096)"          ,"(-1, 4096)"          ,tensor(16781312)
49 ,classifier.4 ,ReLU        ,"(-1, 4096)"          ,"(-1, 4096)"          ,0
50 ,classifier.5 ,Dropout     ,"(-1, 4096)"          ,"(-1, 4096)"          ,0
51 ,classifier.6 ,Linear      ,"(-1, 4096)"          ,"(-1, 4)"             ,tensor(16388)
