    ,name                  ,class_name  ,input_shape          ,output_shape         ,nb_params
1   ,conv1                 ,Conv2d      ,"(-1, 3, 224, 224)"  ,"(-1, 64, 112, 112)" ,tensor(9408)
2   ,bn1                   ,BatchNorm2d ,"(-1, 64, 112, 112)" ,"(-1, 64, 112, 112)" ,tensor(128)
3   ,relu                  ,ReLU        ,"(-1, 64, 112, 112)" ,"(-1, 64, 112, 112)" ,0
4   ,maxpool               ,MaxPool2d   ,"(-1, 64, 112, 112)" ,"(-1, 64, 56, 56)"   ,0
5   ,layer1.0.conv1        ,Conv2d      ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,tensor(4096)
6   ,layer1.0.bn1          ,BatchNorm2d ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,tensor(128)
7   ,layer1.0.relu         ,ReLU        ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,0
8   ,layer1.0.conv2        ,Conv2d      ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,tensor(36864)
9   ,layer1.0.bn2          ,BatchNorm2d ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,tensor(128)
10  ,layer1.0.relu         ,ReLU        ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,0
11  ,layer1.0.conv3        ,Conv2d      ,"(-1, 64, 56, 56)"   ,"(-1, 256, 56, 56)"  ,tensor(16384)
12  ,layer1.0.bn3          ,BatchNorm2d ,"(-1, 256, 56, 56)"  ,"(-1, 256, 56, 56)"  ,tensor(512)
13  ,layer1.0.downsample.0 ,Conv2d      ,"(-1, 64, 56, 56)"   ,"(-1, 256, 56, 56)"  ,tensor(16384)
14  ,layer1.0.downsample.1 ,BatchNorm2d ,"(-1, 256, 56, 56)"  ,"(-1, 256, 56, 56)"  ,tensor(512)
15  ,layer1.0.relu         ,ReLU        ,"(-1, 256, 56, 56)"  ,"(-1, 256, 56, 56)"  ,0
16  ,layer1.0              ,Bottleneck  ,"(-1, 64, 56, 56)"   ,"(-1, 256, 56, 56)"  ,tensor(75008)
17  ,layer1.1.conv1        ,Conv2d      ,"(-1, 256, 56, 56)"  ,"(-1, 64, 56, 56)"   ,tensor(16384)
18  ,layer1.1.bn1          ,BatchNorm2d ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,tensor(128)
19  ,layer1.1.relu         ,ReLU        ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,0
20  ,layer1.1.conv2        ,Conv2d      ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,tensor(36864)
21  ,layer1.1.bn2          ,BatchNorm2d ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,tensor(128)
22  ,layer1.1.relu         ,ReLU        ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,0
23  ,layer1.1.conv3        ,Conv2d      ,"(-1, 64, 56, 56)"   ,"(-1, 256, 56, 56)"  ,tensor(16384)
24  ,layer1.1.bn3          ,BatchNorm2d ,"(-1, 256, 56, 56)"  ,"(-1, 256, 56, 56)"  ,tensor(512)
25  ,layer1.1.relu         ,ReLU        ,"(-1, 256, 56, 56)"  ,"(-1, 256, 56, 56)"  ,0
26  ,layer1.1              ,Bottleneck  ,"(-1, 256, 56, 56)"  ,"(-1, 256, 56, 56)"  ,tensor(70400)
27  ,layer1.2.conv1        ,Conv2d      ,"(-1, 256, 56, 56)"  ,"(-1, 64, 56, 56)"   ,tensor(16384)
28  ,layer1.2.bn1          ,BatchNorm2d ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,tensor(128)
29  ,layer1.2.relu         ,ReLU        ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,0
30  ,layer1.2.conv2        ,Conv2d      ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,tensor(36864)
31  ,layer1.2.bn2          ,BatchNorm2d ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,tensor(128)
32  ,layer1.2.relu         ,ReLU        ,"(-1, 64, 56, 56)"   ,"(-1, 64, 56, 56)"   ,0
33  ,layer1.2.conv3        ,Conv2d      ,"(-1, 64, 56, 56)"   ,"(-1, 256, 56, 56)"  ,tensor(16384)
34  ,layer1.2.bn3          ,BatchNorm2d ,"(-1, 256, 56, 56)"  ,"(-1, 256, 56, 56)"  ,tensor(512)
35  ,layer1.2.relu         ,ReLU        ,"(-1, 256, 56, 56)"  ,"(-1, 256, 56, 56)"  ,0
36  ,layer1.2              ,Bottleneck  ,"(-1, 256, 56, 56)"  ,"(-1, 256, 56, 56)"  ,tensor(70400)
37  ,layer2.0.conv1        ,Conv2d      ,"(-1, 256, 56, 56)"  ,"(-1, 128, 56, 56)"  ,tensor(32768)
38  ,layer2.0.bn1          ,BatchNorm2d ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,tensor(256)
39  ,layer2.0.relu         ,ReLU        ,"(-1, 128, 56, 56)"  ,"(-1, 128, 56, 56)"  ,0
40  ,layer2.0.conv2        ,Conv2d      ,"(-1, 128, 56, 56)"  ,"(-1, 128, 28, 28)"  ,tensor(147456)
41  ,layer2.0.bn2          ,BatchNorm2d ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(256)
42  ,layer2.0.relu         ,ReLU        ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,0
43  ,layer2.0.conv3        ,Conv2d      ,"(-1, 128, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(65536)
44  ,layer2.0.bn3          ,BatchNorm2d ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(1024)
45  ,layer2.0.downsample.0 ,Conv2d      ,"(-1, 256, 56, 56)"  ,"(-1, 512, 28, 28)"  ,tensor(131072)
46  ,layer2.0.downsample.1 ,BatchNorm2d ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(1024)
47  ,layer2.0.relu         ,ReLU        ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,0
48  ,layer2.0              ,Bottleneck  ,"(-1, 256, 56, 56)"  ,"(-1, 512, 28, 28)"  ,tensor(379392)
49  ,layer2.1.conv1        ,Conv2d      ,"(-1, 512, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(65536)
50  ,layer2.1.bn1          ,BatchNorm2d ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(256)
51  ,layer2.1.relu         ,ReLU        ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,0
52  ,layer2.1.conv2        ,Conv2d      ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(147456)
53  ,layer2.1.bn2          ,BatchNorm2d ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(256)
54  ,layer2.1.relu         ,ReLU        ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,0
55  ,layer2.1.conv3        ,Conv2d      ,"(-1, 128, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(65536)
56  ,layer2.1.bn3          ,BatchNorm2d ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(1024)
57  ,layer2.1.relu         ,ReLU        ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,0
58  ,layer2.1              ,Bottleneck  ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(280064)
59  ,layer2.2.conv1        ,Conv2d      ,"(-1, 512, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(65536)
60  ,layer2.2.bn1          ,BatchNorm2d ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(256)
61  ,layer2.2.relu         ,ReLU        ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,0
62  ,layer2.2.conv2        ,Conv2d      ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(147456)
63  ,layer2.2.bn2          ,BatchNorm2d ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(256)
64  ,layer2.2.relu         ,ReLU        ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,0
65  ,layer2.2.conv3        ,Conv2d      ,"(-1, 128, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(65536)
