drill           D       N       ROM     L       V       rock	
（1，0，0）	108	200	150	250	4.86    泥岩	
	
（0，1，0）	89	200	150	250	3.59    泥岩	
	
（0，1，0）	89	200	150	250	1.41    泥岩	
（0，1，0）	89	600	150	250	2.24    泥岩	
（0，1，0）	91	600	150	250	0.00    泥岩	
	
（0，1，0）	91	600	150	250     1.77    泥岩	
（0，1，0）	91	600	150	250	2.43    泥岩	
	
（0，1，0）	91	600	150	250	1.47    砂岩	
	
	
（0，1，0）	91	600	150	250	3.28    灰岩	 
	 
	
（1，0，0）	110	800	150	250	1.93 	砂岩	
	 
（0，0，1）	89	800	150	250	0.81  	砂岩	 
（1，0，0）	89	800	150	250	2.00 	泥岩	 
（1，0，0）	110	800	150	250	1.09  	泥岩	 
（0，0，1）	89	800	150	250	1.93 	泥岩	
（0，0，1）	89	800	150	250	0.90	砂岩	
（1，0，0）	110	800	150	250	1.35 	砂岩	
（0，0，1）	89	800	150	250	1.38 	砂岩	
（1，0，0）	110	800	150	250	0.91 	砂岩	
（0，0，1）	110	800	150	250	1.81 	砂岩	 
	 
（0，0，1）	89	800	150	250	0.78 	砂岩	
	
（0，0，1）	89	800	150	250	1.55 	泥岩	
（0，0，1）	89	800	150	250	1.55 	砂岩	 
（0，0，1）	110	800	150	250	2.99 	砂岩	
（0，0，1）	89	800	150	250	1.07 	砂岩	 
（0，0，1）	110	800	150	250	3.97 	泥岩	
（0，0，1）	89	800	150	250	0.75 	泥岩	
